"lemma","n","id"
"деревня Семеновка",1,"zharikov.posledniaia_noch"
"прохоровский рудник",1,"zharikov.posledniaia_noch"
"Москва",1,"dik.elka"
"Америка",3,"komarovskii.tvoi_rovesniki"
"Англия",1,"komarovskii.tvoi_rovesniki"
"Бон",1,"komarovskii.tvoi_rovesniki"
"Ир Сен",1,"komarovskii.tvoi_rovesniki"
"Ир Сена",2,"komarovskii.tvoi_rovesniki"
"Кай Су",17,"komarovskii.tvoi_rovesniki"
"Кай Су и Пек Чан",2,"komarovskii.tvoi_rovesniki"
"Ким Ир Сен",3,"komarovskii.tvoi_rovesniki"
"Ким Ир Сена",3,"komarovskii.tvoi_rovesniki"
"Корея",6,"komarovskii.tvoi_rovesniki"
"Ку Сек Чука",1,"komarovskii.tvoi_rovesniki"
"Ли Кай Су",1,"komarovskii.tvoi_rovesniki"
"Лондон",10,"komarovskii.tvoi_rovesniki"
"Пек Чан",9,"komarovskii.tvoi_rovesniki"
"Пит",1,"komarovskii.tvoi_rovesniki"
"Рио-де-Жанейро",1,"komarovskii.tvoi_rovesniki"
"Россия",1,"komarovskii.tvoi_rovesniki"
"Северный Корея",1,"komarovskii.tvoi_rovesniki"
"Сеул",3,"komarovskii.tvoi_rovesniki"
"Син Пек Чан",1,"komarovskii.tvoi_rovesniki"
"Сити",1,"komarovskii.tvoi_rovesniki"
"Тек Сан",2,"komarovskii.tvoi_rovesniki"
"Тек Сана",2,"komarovskii.tvoi_rovesniki"
"Филипп",1,"komarovskii.tvoi_rovesniki"
"Флорида",1,"komarovskii.tvoi_rovesniki"
"Фузан",2,"komarovskii.tvoi_rovesniki"
"Хесандин",1,"komarovskii.tvoi_rovesniki"
"Чан Бай Су",3,"komarovskii.tvoi_rovesniki"
"ЮГА",1,"komarovskii.tvoi_rovesniki"
"Южный Корея",3,"komarovskii.tvoi_rovesniki"
"быстрый Река",2,"komarovskii.tvoi_rovesniki"
"весь Лондон",1,"komarovskii.tvoi_rovesniki"
"весь прохладный Долина",5,"komarovskii.tvoi_rovesniki"
"древний столица Корея — Пхеньян",1,"komarovskii.tvoi_rovesniki"
"другой Лондон",1,"komarovskii.tvoi_rovesniki"
"золотой очка несколько",1,"komarovskii.tvoi_rovesniki"
"кай СУ",1,"komarovskii.tvoi_rovesniki"
"кай Су",1,"komarovskii.tvoi_rovesniki"
"король великобритание",1,"komarovskii.tvoi_rovesniki"
"овраг",1,"komarovskii.tvoi_rovesniki"
"пек Чан",1,"komarovskii.tvoi_rovesniki"
"прохладный Долина",17,"komarovskii.tvoi_rovesniki"
"прохладный Долина фанз Син Тек Чена",1,"komarovskii.tvoi_rovesniki"
"ранена Сель Най",1,"komarovskii.tvoi_rovesniki"
"северный Корея",1,"komarovskii.tvoi_rovesniki"
"синий Ручь",2,"komarovskii.tvoi_rovesniki"
"советский Союз",1,"komarovskii.tvoi_rovesniki"
"тек Сан",1,"komarovskii.tvoi_rovesniki"
"Мурманск",1,"aksyonova.devchonka"
"Рита",1,"aksyonova.devchonka"
"Украина",1,"aksyonova.devchonka"
"Арбат",1,"aleksin.31den"
"Волга",1,"aleksin.31den"
"Гомель",1,"aleksin.31den"
"Измайлово",1,"aleksin.31den"
"Крым",1,"aleksin.31den"
"Москва",23,"aleksin.31den"
"Москву-рек",1,"aleksin.31den"
"Моссовет",1,"aleksin.31den"
"Новороссийск",3,"aleksin.31den"
"Петербург",1,"aleksin.31den"
"Профессор",1,"aleksin.31den"
"Севастополь",1,"aleksin.31den"
"Сталинград",23,"aleksin.31den"
"советский Союз",2,"aleksin.31den"
"Актюбинск",2,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Анап",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Антарктида",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Архангельск",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Котелка",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Марс",2,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Москва",2,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"Париж",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"отечественный",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"плен",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"тайный сигнал барабанщик",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"финский",1,"aleksin_anatoli.neobychainye_pohojdenia_sevy_kotlova"
"БОДОПИШ",2,"aleksin_anatoliy.govorit_sedmoy_etazh"
"Икс",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"Ленькина",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"Москва",2,"aleksin_anatoliy.govorit_sedmoy_etazh"
"новый !",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"после-едний",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"тихий Таня",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"только клепальский",1,"aleksin_anatoliy.govorit_sedmoy_etazh"
"Варенца",1,"aleksin_anatoliy.pismo_byvshemu_drugu"
"Москва",2,"aleksin_anatoliy.pismo_byvshemu_drugu"
"Белогорк",1,"aleksin_anatoliy.sasha_i_shura"
"Белогорск",8,"aleksin_anatoliy.sasha_i_shura"
"Москва",13,"aleksin_anatoliy.sasha_i_shura"
"Петров",1,"aleksin_anatoliy.sasha_i_shura"
"Хвостик",1,"aleksin_anatoliy.sasha_i_shura"
"Химки",1,"aleksin_anatoliy.sasha_i_shura"
"Шура",1,"aleksin_anatoliy.sasha_i_shura"
"городок",1,"aleksin_anatoliy.sasha_i_shura"
"древний Спарта",1,"aleksin_anatoliy.sasha_i_shura"
"ур-ра",1,"aleksin_anatoliy.sasha_i_shura"
"Григорий Шадрин",1,"astafiev.vasutkino_ozero"
"Енисей",7,"astafiev.vasutkino_ozero"
"Заполярье",1,"astafiev.vasutkino_ozero"
"Красноярск",1,"astafiev.vasutkino_ozero"
"Сибирь",1,"astafiev.vasutkino_ozero"
"васюткин",1,"astafiev.vasutkino_ozero"
"наш Родина",1,"astafiev.vasutkino_ozero"
"сам Васютка",1,"astafiev.vasutkino_ozero"
"Арбат",1,"bogomolov_vladimir.ivan"
"Берлин",2,"bogomolov_vladimir.ivan"
"Берлин моросить дождь , мелкий , холодный",1,"bogomolov_vladimir.ivan"
"Большак",1,"bogomolov_vladimir.ivan"
"ГФП",1,"bogomolov_vladimir.ivan"
"Гамбург",1,"bogomolov_vladimir.ivan"
"Гомель",1,"bogomolov_vladimir.ivan"
"Гомельщина",1,"bogomolov_vladimir.ivan"
"Днепр",4,"bogomolov_vladimir.ivan"
"Клинск",1,"bogomolov_vladimir.ivan"
"Москва",3,"bogomolov_vladimir.ivan"
"НП",2,"bogomolov_vladimir.ivan"
"Новоселок",1,"bogomolov_vladimir.ivan"
"Пинск",1,"bogomolov_vladimir.ivan"
"Прибалтика",1,"bogomolov_vladimir.ivan"
"Принц-Альбрехтшрасс",1,"bogomolov_vladimir.ivan"
"Речиц",1,"bogomolov_vladimir.ivan"
"СС",1,"bogomolov_vladimir.ivan"
"Сосновка",1,"bogomolov_vladimir.ivan"
"Тростянце",1,"bogomolov_vladimir.ivan"
"Федоровка",2,"bogomolov_vladimir.ivan"
"германский империя",1,"bogomolov_vladimir.ivan"
"курорт",1,"bogomolov_vladimir.ivan"
"Кавказ",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Кисловодск",6,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Кисловодск Казбек",2,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Луна",4,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Лёва",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Марс",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Москва",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Планетарий",10,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Планетария",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"Украина",2,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"курорт Кавказ",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"минеральный Вода",1,"bremener.leshkina_pereekzaminovka_sluchai_so_stepnym"
"ВЛКСМ",1,"bremener.peredacha"
"Европа",1,"bremener.peredacha"
"Консерватория",1,"bremener.peredacha"
"Рейн",1,"bremener.peredacha"
"Сочи",1,"bremener.peredacha"
"Третьяковка",1,"bremener.peredacha"
"Удмуртия",1,"bremener.peredacha"
"город Москва",1,"bremener.peredacha"
"город Ташкент",1,"bremener.peredacha"
"дом ?",1,"bremener.peredacha"
"класс",1,"bremener.peredacha"
"приключение Буратино",1,"bremener.peredacha"
"тюз",2,"bremener.peredacha"
"Андрюшка !",1,"dik.ogennyj_ruchej"
"Архангельск",1,"dik.ogennyj_ruchej"
"Баку",1,"dik.ogennyj_ruchej"
"Белоруссия",1,"dik.ogennyj_ruchej"
"Берлин",1,"dik.ogennyj_ruchej"
"Владивосток",1,"dik.ogennyj_ruchej"
"Германия",2,"dik.ogennyj_ruchej"
"Днепр",4,"dik.ogennyj_ruchej"
"Днепре",2,"dik.ogennyj_ruchej"
"Жигачев",7,"dik.ogennyj_ruchej"
"Жигачевсталь",2,"dik.ogennyj_ruchej"
"Звенигород",2,"dik.ogennyj_ruchej"
"Калинина",1,"dik.ogennyj_ruchej"
"Краматорск",1,"dik.ogennyj_ruchej"
"Кузнецка",2,"dik.ogennyj_ruchej"
"Магнитогорск",2,"dik.ogennyj_ruchej"
"Маяковский",1,"dik.ogennyj_ruchej"
"Москва",38,"dik.ogennyj_ruchej"
"Москва - река",1,"dik.ogennyj_ruchej"
"Одесса",1,"dik.ogennyj_ruchej"
"Перловка",1,"dik.ogennyj_ruchej"
"Прага",1,"dik.ogennyj_ruchej"
"Россия",1,"dik.ogennyj_ruchej"
"Свердловск",1,"dik.ogennyj_ruchej"
"Сибирь",3,"dik.ogennyj_ruchej"
"Симферополь",1,"dik.ogennyj_ruchej"
"Тагила",1,"dik.ogennyj_ruchej"
"Тул",1,"dik.ogennyj_ruchej"
"Украина",7,"dik.ogennyj_ruchej"
"Урал",1,"dik.ogennyj_ruchej"
"ФЗО",1,"dik.ogennyj_ruchej"
"Франция",1,"dik.ogennyj_ruchej"
"дальний Восток",1,"dik.ogennyj_ruchej"
"заповедник Аскания-нов",1,"dik.ogennyj_ruchej"
"запорожский",1,"dik.ogennyj_ruchej"
"синичкин улица",1,"dik.ogennyj_ruchej"
"советский Союз",2,"dik.ogennyj_ruchej"
"тэц",1,"dik.ogennyj_ruchej"
"хороший утренний Москва",1,"dik.ogennyj_ruchej"
"Архангельск",1,"dik.vnashem_klasse"
"Болгария",1,"dik.vnashem_klasse"
"Бухарест",1,"dik.vnashem_klasse"
"Германия",1,"dik.vnashem_klasse"
"Госцирка",1,"dik.vnashem_klasse"
"Европа",1,"dik.vnashem_klasse"
"Китай",1,"dik.vnashem_klasse"
"Кремль",2,"dik.vnashem_klasse"
"Куйбышев",1,"dik.vnashem_klasse"
"Метрострой",1,"dik.vnashem_klasse"
"Москва",10,"dik.vnashem_klasse"
"Парк культурны Горький",1,"dik.vnashem_klasse"
"Россия",1,"dik.vnashem_klasse"
"Толе",1,"dik.vnashem_klasse"
"Чехословакия",1,"dik.vnashem_klasse"
"аниный",1,"dik.vnashem_klasse"
"ваш Горшков",1,"dik.vnashem_klasse"
"весь Россия",1,"dik.vnashem_klasse"
"древний Греция",2,"dik.vnashem_klasse"
"древний Рим",1,"dik.vnashem_klasse"
"невский",1,"dik.vnashem_klasse"
"парт ?",1,"dik.vnashem_klasse"
"питерский",1,"dik.vnashem_klasse"
"поселок Боровой",1,"dik.vnashem_klasse"
"советский Союз",1,"dik.vnashem_klasse"
"советский страна",1,"dik.vnashem_klasse"
"трудовой красный Знамень",1,"dik.vnashem_klasse"
"харьковский",1,"dik.vnashem_klasse"
"Антарктида",14,"goliavkin.tetradki"
"Москва",2,"goliavkin.tetradki"
"японский море",1,"goliavkin.tetradki"
"Балашиха",4,"graevskyi.poiski_znamenitostei"
"Вильом",1,"graevskyi.poiski_znamenitostei"
"Италия",2,"graevskyi.poiski_znamenitostei"
"МТС",2,"graevskyi.poiski_znamenitostei"
"Россия",2,"graevskyi.poiski_znamenitostei"
"Слава",1,"graevskyi.poiski_znamenitostei"
"Сосновый",2,"graevskyi.poiski_znamenitostei"
"Урал",1,"graevskyi.poiski_znamenitostei"
"Франция",1,"graevskyi.poiski_znamenitostei"
"Эдик",1,"graevskyi.poiski_znamenitostei"
"Южный Америка",1,"graevskyi.poiski_znamenitostei"
"дизельный",1,"graevskyi.poiski_znamenitostei"
"незнаменитый",1,"graevskyi.poiski_znamenitostei"
"солнечный Италия",1,"graevskyi.poiski_znamenitostei"
"сосновый",1,"graevskyi.poiski_znamenitostei"
"Кисловодск",1,"karelin.na_tihoy_ulitse"
"Коля",4,"karelin.na_tihoy_ulitse"
"Кратово",1,"karelin.na_tihoy_ulitse"
"Кузбасс",1,"karelin.na_tihoy_ulitse"
"Москва",8,"karelin.na_tihoy_ulitse"
"Одесса",3,"karelin.na_tihoy_ulitse"
"Родина",3,"karelin.na_tihoy_ulitse"
"Севастополь",1,"karelin.na_tihoy_ulitse"
"Симферополь",1,"karelin.na_tihoy_ulitse"
"Сталинград",1,"karelin.na_tihoy_ulitse"
"новый Москва",1,"karelin.na_tihoy_ulitse"
"средний Азия",1,"karelin.na_tihoy_ulitse"
"Берлин",1,"karyakin.vernyi_drug"
"Вагай",1,"karyakin.vernyi_drug"
"Дозор",1,"karyakin.vernyi_drug"
"Крым",1,"karyakin.vernyi_drug"
"Ленинград",1,"karyakin.vernyi_drug"
"Петь",1,"karyakin.vernyi_drug"
"Яшина",2,"karyakin.vernyi_drug"
"дозор !",1,"karyakin.vernyi_drug"
"калининский",3,"karyakin.vernyi_drug"
"пензенский область",1,"karyakin.vernyi_drug"
"село Вагай",1,"karyakin.vernyi_drug"
"трелять",1,"karyakin.vernyi_drug"
"Андреевка",8,"kolosov.bahmutskii_shlyah"
"Арденный",1,"kolosov.bahmutskii_shlyah"
"Артемовск",3,"kolosov.bahmutskii_shlyah"
"Африка",1,"kolosov.bahmutskii_shlyah"
"Балтика",1,"kolosov.bahmutskii_shlyah"
"Бахмут",1,"kolosov.bahmutskii_shlyah"
"Берлин",6,"kolosov.bahmutskii_shlyah"
"Брест",1,"kolosov.bahmutskii_shlyah"
"Васильевка",4,"kolosov.bahmutskii_shlyah"
"Ворошиловград",1,"kolosov.bahmutskii_shlyah"
"Германия",13,"kolosov.bahmutskii_shlyah"
"Горловка",5,"kolosov.bahmutskii_shlyah"
"Греция",2,"kolosov.bahmutskii_shlyah"
"Грицько",1,"kolosov.bahmutskii_shlyah"
"Днепропетровск",1,"kolosov.bahmutskii_shlyah"
"Донбасс",5,"kolosov.bahmutskii_shlyah"
"Драйзикмюл",1,"kolosov.bahmutskii_shlyah"
"Европа",1,"kolosov.bahmutskii_shlyah"
"Египет",1,"kolosov.bahmutskii_shlyah"
"Иркутский область",1,"kolosov.bahmutskii_shlyah"
"Италия",1,"kolosov.bahmutskii_shlyah"
"Киев",6,"kolosov.bahmutskii_shlyah"
"Киево-Печерский лаврь",1,"kolosov.bahmutskii_shlyah"
"Ковел",1,"kolosov.bahmutskii_shlyah"
"Ковель",11,"kolosov.bahmutskii_shlyah"
"Ленинград",2,"kolosov.bahmutskii_shlyah"
"Луцка",1,"kolosov.bahmutskii_shlyah"
"Львов",9,"kolosov.bahmutskii_shlyah"
"Маньчжурия",1,"kolosov.bahmutskii_shlyah"
"Марьинка",1,"kolosov.bahmutskii_shlyah"
"Минск",1,"kolosov.bahmutskii_shlyah"
"Мишкин",1,"kolosov.bahmutskii_shlyah"
"Москва",7,"kolosov.bahmutskii_shlyah"
"Одесса",1,"kolosov.bahmutskii_shlyah"
"Одиссеев",1,"kolosov.bahmutskii_shlyah"
"Подмосковье",1,"kolosov.bahmutskii_shlyah"
"Познань",2,"kolosov.bahmutskii_shlyah"
"Познань туть называть Позэн",1,"kolosov.bahmutskii_shlyah"
"Польша",3,"kolosov.bahmutskii_shlyah"
"Прибалтика",1,"kolosov.bahmutskii_shlyah"
"Путиловка",3,"kolosov.bahmutskii_shlyah"
"Россия",1,"kolosov.bahmutskii_shlyah"
"Румыния",4,"kolosov.bahmutskii_shlyah"
"Севастополь",3,"kolosov.bahmutskii_shlyah"
"Северный Кавказ",1,"kolosov.bahmutskii_shlyah"
"Сибирь",3,"kolosov.bahmutskii_shlyah"
"Симбик",1,"kolosov.bahmutskii_shlyah"
"Синельниково",1,"kolosov.bahmutskii_shlyah"
"Славянск",5,"kolosov.bahmutskii_shlyah"
"Сталинград",6,"kolosov.bahmutskii_shlyah"
"Сталино",3,"kolosov.bahmutskii_shlyah"
"Ташкент",2,"kolosov.bahmutskii_shlyah"
"Украина",3,"kolosov.bahmutskii_shlyah"
"Урал",2,"kolosov.bahmutskii_shlyah"
"Ясиновата",1,"kolosov.bahmutskii_shlyah"
"Яшки",1,"kolosov.bahmutskii_shlyah"
"век",1,"kolosov.bahmutskii_shlyah"
"вишня",1,"kolosov.bahmutskii_shlyah"
"владимир-волынский",1,"kolosov.bahmutskii_shlyah"
"город Новосиль",1,"kolosov.bahmutskii_shlyah"
"госпиталь",1,"kolosov.bahmutskii_shlyah"
"грузовикi дальний лес",1,"kolosov.bahmutskii_shlyah"
"далекий Ленинград",1,"kolosov.bahmutskii_shlyah"
"далекий древний Греция",1,"kolosov.bahmutskii_shlyah"
"красноармейский",1,"kolosov.bahmutskii_shlyah"
"красный Армия",1,"kolosov.bahmutskii_shlyah"
"многолюдный Донбасс",1,"kolosov.bahmutskii_shlyah"
"новый Силь",1,"kolosov.bahmutskii_shlyah"
"районный село Марьинка",1,"kolosov.bahmutskii_shlyah"
"самый Германия",1,"kolosov.bahmutskii_shlyah"
"свой Итак",1,"kolosov.bahmutskii_shlyah"
"советский Армия",1,"kolosov.bahmutskii_shlyah"
"старый бахмутский",1,"kolosov.bahmutskii_shlyah"
"тормозной плонадка",1,"kolosov.bahmutskii_shlyah"
"трудность",1,"kolosov.bahmutskii_shlyah"
"фу",1,"kolosov.bahmutskii_shlyah"
"хутор песчаный",2,"kolosov.bahmutskii_shlyah"
"черниговский область",1,"kolosov.bahmutskii_shlyah"
"эх",1,"kolosov.bahmutskii_shlyah"
"ясиноватый",1,"kolosov.bahmutskii_shlyah"
"Костя",1,"koryakov.kostya_rabotyaga"
"Башкирия",1,"koryakov.tropoy_smelyh"
"Вовка",1,"koryakov.tropoy_smelyh"
"Голландия",1,"koryakov.tropoy_smelyh"
"Иртыш",1,"koryakov.tropoy_smelyh"
"Казахстан",1,"koryakov.tropoy_smelyh"
"Капов",1,"koryakov.tropoy_smelyh"
"Кремль",1,"koryakov.tropoy_smelyh"
"Луна",1,"koryakov.tropoy_smelyh"
"Лёню",1,"koryakov.tropoy_smelyh"
"Москва",5,"koryakov.tropoy_smelyh"
"Северный Урал",1,"koryakov.tropoy_smelyh"
"Сломин",1,"koryakov.tropoy_smelyh"
"Сломино",2,"koryakov.tropoy_smelyh"
"Сосновка",2,"koryakov.tropoy_smelyh"
"Шарта",1,"koryakov.tropoy_smelyh"
"Южный Урал",2,"koryakov.tropoy_smelyh"
"великий отечественный война",1,"koryakov.tropoy_smelyh"
"гидро",1,"koryakov.tropoy_smelyh"
"гэс",1,"koryakov.tropoy_smelyh"
"деревня Сломино",1,"koryakov.tropoy_smelyh"
"записка уоле",1,"koryakov.tropoy_smelyh"
"записка уоле """,1,"koryakov.tropoy_smelyh"
"какой-нибудь новый Магнитогорск",1,"koryakov.tropoy_smelyh"
"кунгурский",1,"koryakov.tropoy_smelyh"
"лаклинский",1,"koryakov.tropoy_smelyh"
"лёнь",1,"koryakov.tropoy_smelyh"
"на Шарта",1,"koryakov.tropoy_smelyh"
"нынешний Россия",1,"koryakov.tropoy_smelyh"
"порожный",1,"koryakov.tropoy_smelyh"
"река Шарта",1,"koryakov.tropoy_smelyh"
"село Покровский из гранит",1,"koryakov.tropoy_smelyh"
"село Сломино",1,"koryakov.tropoy_smelyh"
"сергеевский",1,"koryakov.tropoy_smelyh"
"советский Союз",1,"koryakov.tropoy_smelyh"
"центральный Азия",1,"koryakov.tropoy_smelyh"
"чудь",1,"koryakov.tropoy_smelyh"
"Антарктида",2,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Атлантика",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Виктор",4,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Кавказ",6,"krishtof_elena.may_mesyats_pered_ekzamenami"
"МГУ",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Москва",3,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Первомайск",2,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Семинос",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Соловьев",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"наш Первомайск",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"сотня",1,"krishtof_elena.may_mesyats_pered_ekzamenami"
"Азия",1,"kvin.malchishechi_tainy"
"Африка",1,"kvin.malchishechi_tainy"
"Барнаул",1,"kvin.malchishechi_tainy"
"Вита",1,"kvin.malchishechi_tainy"
"Екатерина",1,"kvin.malchishechi_tainy"
"Квин Мальчишечья",1,"kvin.malchishechi_tainy"
"Киев",4,"kvin.malchishechi_tainy"
"Москва",1,"kvin.malchishechi_tainy"
"Москвич",1,"kvin.malchishechi_tainy"
"Н",1,"kvin.malchishechi_tainy"
"Н.",2,"kvin.malchishechi_tainy"
"Облепиха",3,"kvin.malchishechi_tainy"
"Совхоз",1,"kvin.malchishechi_tainy"
"Франц Иосиф",1,"kvin.malchishechi_tainy"
"Харьков",1,"kvin.malchishechi_tainy"
"далекий Арктика",1,"kvin.malchishechi_tainy"
"коллекция Глеб Салова",1,"kvin.malchishechi_tainy"
"молчаливый Витя",1,"kvin.malchishechi_tainy"
"некрасовский",1,"kvin.malchishechi_tainy"
"партизанский",2,"kvin.malchishechi_tainy"
"подземный ход …",1,"kvin.malchishechi_tainy"
"советский Союз",1,"kvin.malchishechi_tainy"
"совхоз "" молодежный",1,"kvin.malchishechi_tainy"
"театр",1,"kvin.malchishechi_tainy"
"центральный Африка",1,"kvin.malchishechi_tainy"
"Дарьин роща",1,"kvin.ozorniki"
"Жени",1,"kvin.ozorniki"
"Игорь",1,"kvin.ozorniki"
"дарьин роща",2,"kvin.ozorniki"
"партизанский",2,"kvin.ozorniki"
"Виктор",1,"kvin.v_te_dni"
"Владимир",1,"kvin.v_te_dni"
"Владимир Озолс",1,"kvin.v_te_dni"
"Даугав",1,"kvin.v_te_dni"
"Даугавпилс",1,"kvin.v_te_dni"
"Испания",1,"kvin.v_te_dni"
"Киш-озер",2,"kvin.v_te_dni"
"Курзема",1,"kvin.v_te_dni"
"Латвия",16,"kvin.v_te_dni"
"Лепай",3,"kvin.v_te_dni"
"Лепая",2,"kvin.v_te_dni"
"Ливония",1,"kvin.v_te_dni"
"Лиепай",1,"kvin.v_te_dni"
"Литва",1,"kvin.v_te_dni"
"МОПРа",1,"kvin.v_te_dni"
"Петр",1,"kvin.v_te_dni"
"Попова",1,"kvin.v_te_dni"
"Риг",4,"kvin.v_te_dni"
"Рига",6,"kvin.v_te_dni"
"Россия",1,"kvin.v_te_dni"
"буржуазный Латвия",1,"kvin.v_te_dni"
"дубровинский сад",1,"kvin.v_te_dni"
"комсомол Латвия",1,"kvin.v_te_dni"
"красный Армия",3,"kvin.v_te_dni"
"наш красный Армия",1,"kvin.v_te_dni"
"подпольщик Эгон",1,"kvin.v_te_dni"
"провокация",1,"kvin.v_te_dni"
"советский Латвия",3,"kvin.v_te_dni"
"советский Союз",4,"kvin.v_te_dni"
"стро",1,"kvin.v_te_dni"
"чррный царство",1,"kvin.v_te_dni"
"ячейка",1,"kvin.v_te_dni"
"Блин",1,"mikhasenko.neugomonnye"
"Борькин",1,"mikhasenko.neugomonnye"
"Генка",1,"mikhasenko.neugomonnye"
"Жемякина",1,"mikhasenko.neugomonnye"
"Король Морг",1,"mikhasenko.neugomonnye"
"Кракатау",2,"mikhasenko.neugomonnye"
"Крым",2,"mikhasenko.neugomonnye"
"МАЗ",1,"mikhasenko.neugomonnye"
"Марийка",1,"mikhasenko.neugomonnye"
"Остров Свобода",2,"mikhasenko.neugomonnye"
"Славкина",1,"mikhasenko.neugomonnye"
"Союз четыре",1,"mikhasenko.neugomonnye"
"Томки",1,"mikhasenko.neugomonnye"
"Юркина",1,"mikhasenko.neugomonnye"
"Юркино",2,"mikhasenko.neugomonnye"
"забор",1,"mikhasenko.neugomonnye"
"задача",1,"mikhasenko.neugomonnye"
"конечный",1,"mikhasenko.neugomonnye"
"остров Пасха",1,"mikhasenko.neugomonnye"
"порядок",1,"mikhasenko.neugomonnye"
"просторный двор , с волейбольный площадка , с качель , с грибок , как на пляж …",1,"mikhasenko.neugomonnye"
"с Славкай",1,"mikhasenko.neugomonnye"
"союз Честь",2,"mikhasenko.neugomonnye"
"союз Честь """,1,"mikhasenko.neugomonnye"
"союз четыре """,1,"mikhasenko.neugomonnye"
"Африка",1,"minutko.devochka_iz_nashego_klassa"
"Батуми",1,"minutko.devochka_iz_nashego_klassa"
"Волга",1,"minutko.devochka_iz_nashego_klassa"
"Куйбышев",1,"minutko.devochka_iz_nashego_klassa"
"Москва",4,"minutko.devochka_iz_nashego_klassa"
"Париж",1,"minutko.devochka_iz_nashego_klassa"
"деревня Дубровка",1,"minutko.devochka_iz_nashego_klassa"
"дневник Витя Сметанин",1,"minutko.devochka_iz_nashego_klassa"
"забота",1,"minutko.devochka_iz_nashego_klassa"
"книжка "" дальний страна """,1,"minutko.devochka_iz_nashego_klassa"
"советский Союз",1,"minutko.devochka_iz_nashego_klassa"
"Белоруссия",1,"morozov.marat_kazej"
"Васильевка",1,"morozov.marat_kazej"
"Германия",1,"morozov.marat_kazej"
"Дзержинск",3,"morozov.marat_kazej"
"Минск",2,"morozov.marat_kazej"
"Румка",1,"morozov.marat_kazej"
"Румок",2,"morozov.marat_kazej"
"Станьково",2,"morozov.marat_kazej"
"глубокий Лог",1,"morozov.marat_kazej"
"год . Минск",1,"morozov.marat_kazej"
"город Минск",1,"morozov.marat_kazej"
"деревня",1,"morozov.marat_kazej"
"деревня Румок",1,"morozov.marat_kazej"
"деревня Станьково",1,"morozov.marat_kazej"
"деревня глубокий Лог",1,"morozov.marat_kazej"
"советский флот",1,"morozov.marat_kazej"
"станьковский",1,"morozov.marat_kazej"
"Австрия",1,"moshkovski_anatloliy.semka_matros_na_drage"
"Байкал",2,"moshkovski_anatloliy.semka_matros_na_drage"
"лодка",1,"moshkovski_anatloliy.semka_matros_na_drage"
"Африка",1,"moskovkin.valerka_i_ego_druzya"
"Борисоглеб",1,"moskovkin.valerka_i_ego_druzya"
"Бук",1,"moskovkin.valerka_i_ego_druzya"
"Волга",2,"moskovkin.valerka_i_ego_druzya"
"Воронежский область",1,"moskovkin.valerka_i_ego_druzya"
"Высоково Ярославский область",1,"moskovkin.valerka_i_ego_druzya"
"Клетка",1,"moskovkin.valerka_i_ego_druzya"
"Которосли",1,"moskovkin.valerka_i_ego_druzya"
"Которосль",1,"moskovkin.valerka_i_ego_druzya"
"Маныч",1,"moskovkin.valerka_i_ego_druzya"
"Ольшанка",2,"moskovkin.valerka_i_ego_druzya"
