"toponym","index","more_one"
"сосновый","E210",FALSE
"Коля","E211",FALSE
"Кратово","E212",FALSE
"Кузбасс","E213",FALSE
"Родина","E214",FALSE
"новый Москва","E215",TRUE
"средний Азия","E216",TRUE
"Вагай","E217",FALSE
"Дозор","E218",FALSE
"Ленинград","E219",FALSE
"Петь","E220",FALSE
"Яшина","E221",FALSE
"дозор !","E222",FALSE
"калининский","E223",FALSE
"пензенский область","E224",TRUE
"село Вагай","E225",TRUE
"трелять","E226",FALSE
"Андреевка","E227",FALSE
"Арденный","E228",FALSE
"Артемовск","E229",FALSE
"Африка","E230",FALSE
"Балтика","E231",FALSE
"Бахмут","E232",FALSE
"Брест","E233",FALSE
"Васильевка","E234",FALSE
"Ворошиловград","E235",FALSE
"Горловка","E236",FALSE
"Греция","E237",FALSE
"Грицько","E238",FALSE
"Днепропетровск","E239",FALSE
"Донбасс","E240",FALSE
"Драйзикмюл","E241",FALSE
"Египет","E242",FALSE
"Иркутский область","E243",TRUE
"Киев","E244",FALSE
"Киево-Печерский лаврь","E245",TRUE
"Ковел","E246",FALSE
"Ковель","E247",FALSE
"Луцка","E248",FALSE
"Львов","E249",FALSE
"Маньчжурия","E250",FALSE
"Марьинка","E251",FALSE
"Минск","E252",FALSE
"Мишкин","E253",FALSE
"Одиссеев","E254",FALSE
"Подмосковье","E255",FALSE
"Познань","E256",FALSE
"Познань туть называть Позэн","E257",TRUE
"Польша","E258",FALSE
"Путиловка","E259",FALSE
"Румыния","E260",FALSE
"Северный Кавказ","E261",TRUE
"Симбик","E262",FALSE
"Синельниково","E263",FALSE
"Славянск","E264",FALSE
"Сталино","E265",FALSE
"Ташкент","E266",FALSE
"Ясиновата","E267",FALSE
"Яшки","E268",FALSE
"век","E269",FALSE
"вишня","E270",FALSE
"владимир-волынский","E271",TRUE
"город Новосиль","E272",TRUE
"госпиталь","E273",FALSE
"грузовикi дальний лес","E274",TRUE
"далекий Ленинград","E275",TRUE
"далекий древний Греция","E276",TRUE
"красноармейский","E277",FALSE
"красный Армия","E278",TRUE
"многолюдный Донбасс","E279",TRUE
"новый Силь","E280",TRUE
"районный село Марьинка","E281",TRUE
"самый Германия","E282",TRUE
"свой Итак","E283",TRUE
"советский Армия","E284",TRUE
"старый бахмутский","E285",TRUE
"тормозной плонадка","E286",TRUE
"трудность","E287",FALSE
"фу","E288",FALSE
"хутор песчаный","E289",TRUE
"черниговский область","E290",TRUE
"эх","E291",FALSE
"ясиноватый","E292",FALSE
"Костя","E293",FALSE
"Башкирия","E294",FALSE
"Вовка","E295",FALSE
"Голландия","E296",FALSE
"Иртыш","E297",FALSE
"Казахстан","E298",FALSE
"Капов","E299",FALSE
"Лёню","E300",FALSE
"Северный Урал","E301",TRUE
"Сломин","E302",FALSE
"Сломино","E303",FALSE
"Шарта","E304",FALSE
"Южный Урал","E305",TRUE
"великий отечественный война","E306",TRUE
"гидро","E307",FALSE
"гэс","E308",FALSE
"деревня Сломино","E309",TRUE
"записка уоле","E310",TRUE
"записка уоле ""","E311",TRUE
"какой-нибудь новый Магнитогорск","E312",TRUE
"кунгурский","E313",FALSE
"лаклинский","E314",FALSE
"лёнь","E315",FALSE
"на Шарта","E316",TRUE
"нынешний Россия","E317",TRUE
"порожный","E318",FALSE
"река Шарта","E319",TRUE
"село Покровский из гранит","E320",TRUE
"село Сломино","E321",TRUE
"сергеевский","E322",FALSE
"центральный Азия","E323",TRUE
"чудь","E324",FALSE
"Атлантика","E325",FALSE
"Виктор","E326",FALSE
"МГУ","E327",FALSE
"Первомайск","E328",FALSE
"Семинос","E329",FALSE
"Соловьев","E330",FALSE
"наш Первомайск","E331",TRUE
"сотня","E332",FALSE
"Азия","E333",FALSE
"Барнаул","E334",FALSE
"Вита","E335",FALSE
"Екатерина","E336",FALSE
"Квин Мальчишечья","E337",TRUE
"Москвич","E338",FALSE
"Н","E339",FALSE
"Н.","E340",FALSE
"Облепиха","E341",FALSE
"Совхоз","E342",FALSE
"Франц Иосиф","E343",TRUE
"Харьков","E344",FALSE
"далекий Арктика","E345",TRUE
"коллекция Глеб Салова","E346",TRUE
"молчаливый Витя","E347",TRUE
"некрасовский","E348",FALSE
"партизанский","E349",FALSE
"подземный ход …","E350",TRUE
"совхоз "" молодежный","E351",TRUE
"театр","E352",FALSE
"центральный Африка","E353",TRUE
"Дарьин роща","E354",TRUE
"Жени","E355",FALSE
"Игорь","E356",FALSE
"дарьин роща","E357",TRUE
"Владимир","E358",FALSE
"Владимир Озолс","E359",TRUE
"Даугав","E360",FALSE
"Даугавпилс","E361",FALSE
"Испания","E362",FALSE
"Киш-озер","E363",TRUE
"Курзема","E364",FALSE
"Латвия","E365",FALSE
"Лепай","E366",FALSE
"Лепая","E367",FALSE
"Ливония","E368",FALSE
"Лиепай","E369",FALSE
"Литва","E370",FALSE
"МОПРа","E371",FALSE
"Петр","E372",FALSE
"Попова","E373",FALSE
"Риг","E374",FALSE
"Рига","E375",FALSE
"буржуазный Латвия","E376",TRUE
"дубровинский сад","E377",TRUE
"комсомол Латвия","E378",TRUE
"наш красный Армия","E379",TRUE
"подпольщик Эгон","E380",TRUE
"провокация","E381",FALSE
"советский Латвия","E382",TRUE
"стро","E383",FALSE
"чррный царство","E384",TRUE
"ячейка","E385",FALSE
"Блин","E386",FALSE
"Борькин","E387",FALSE
"Генка","E388",FALSE
"Жемякина","E389",FALSE
"Король Морг","E390",TRUE
"Кракатау","E391",FALSE
"МАЗ","E392",FALSE
"Марийка","E393",FALSE
"Остров Свобода","E394",TRUE
"Славкина","E395",FALSE
"Союз четыре","E396",TRUE
"Томки","E397",FALSE
"Юркина","E398",FALSE
"Юркино","E399",FALSE
"забор","E400",FALSE
"задача","E401",FALSE
"конечный","E402",FALSE
